0x000	无
0x001	妙蛙种子
0x002	妙蛙草
0x003	妙蛙花
0x004	小火龙
0x005	火恐龙
0x006	喷火龙
0x007	杰尼龟
0x008	卡咪龟
0x009	水箭龟
0x00A	绿毛虫
0x00B	铁甲蛹
0x00C	巴大蝶
0x00D	独角虫
0x00E	铁壳蛹
0x00F	大针蜂
0x010	波波
0x011	比比鸟
0x012	大比鸟
0x013	小拉达
0x014	拉达
0x015	烈雀
0x016	大嘴雀
0x017	阿柏蛇
0x018	阿柏怪
0x019	皮卡丘
0x01A	雷丘
0x01B	穿山鼠
0x01C	穿山王
0x01D	尼多兰
0x01E	尼多娜
0x01F	尼多后
0x020	尼多朗
0x021	尼多力诺
0x022	尼多王
0x023	皮皮
0x024	皮可西
0x025	六尾
0x026	九尾
0x027	胖丁
0x028	胖可丁
0x029	超音蝠
0x02A	大嘴蝠
0x02B	走路草
0x02C	臭臭花
0x02D	霸王花
0x02E	派拉斯
0x02F	派拉斯特
0x030	毛球
0x031	摩鲁蛾
0x032	地鼠
0x033	三地鼠
0x034	喵喵
0x035	猫老大
0x036	可达鸭
0x037	哥达鸭
0x038	猴怪
0x039	火暴猴
0x03A	卡蒂狗
0x03B	风速狗
0x03C	蚊香蝌蚪
0x03D	蚊香君
0x03E	蚊香泳士
0x03F	凯西
0x040	勇基拉
0x041	胡地
0x042	腕力
0x043	豪力
0x044	怪力
0x045	喇叭芽
0x046	口呆花
0x047	大食花
0x048	玛瑙水母
0x049	毒刺水母
0x04A	小拳石
0x04B	隆隆石
0x04C	隆隆岩
0x04D	小火马
0x04E	烈焰马
0x04F	呆呆兽
0x050	呆壳兽
0x051	小磁怪
0x052	三合一磁怪
0x053	大葱鸭
0x054	嘟嘟
0x055	嘟嘟利
0x056	小海狮
0x057	白海狮
0x058	臭泥
0x059	臭臭泥
0x05A	大舌贝
0x05B	刺甲贝
0x05C	鬼斯
0x05D	鬼斯通
0x05E	耿鬼
0x05F	大岩蛇
0x060	催眠貘
0x061	引梦貘人
0x062	大钳蟹
0x063	巨钳蟹
0x064	霹雳电球
0x065	顽皮雷弹
0x066	蛋蛋
0x067	椰蛋树
0x068	卡拉卡拉
0x069	嘎啦嘎啦
0x06A	飞腿郎
0x06B	快拳郎
0x06C	大舌头
0x06D	瓦斯弹
0x06E	双弹瓦斯
0x06F	独角犀牛
0x070	钻角犀兽
0x071	吉利蛋
0x072	蔓藤怪
0x073	袋兽
0x074	墨海马
0x075	海刺龙
0x076	角金鱼
0x077	金鱼王
0x078	海星星
0x079	宝石海星
0x07A	魔墙人偶
0x07B	飞天螳螂
0x07C	迷唇姐
0x07D	电击兽
0x07E	鸭嘴火兽
0x07F	凯罗斯
0x080	肯泰罗
0x081	鲤鱼王
0x082	暴鲤龙
0x083	拉普拉斯
0x084	百变怪
0x085	伊布
0x086	水伊布
0x087	雷伊布
0x088	火伊布
0x089	多边兽
0x08A	菊石兽
0x08B	多刺菊石兽
0x08C	化石盔
0x08D	镰刀盔
0x08E	化石翼龙
0x08F	卡比兽
0x090	急冻鸟
0x091	闪电鸟
0x092	火焰鸟
0x093	迷你龙
0x094	哈克龙
0x095	快龙
0x096	超梦
0x097	梦幻
0x098	菊草叶
