0x000	------
0x001	拍击
0x002	空手劈
0x003	连环巴掌
0x004	连续拳
0x005	百万吨重拳
0x006	聚宝功
0x007	火焰拳
0x008	冰冻拳
0x009	雷电拳
0x00A	抓
0x00B	夹住
0x00C	断头钳
0x00D	旋风刀
0x00E	剑舞
0x00F	居合斩
0x010	起风
0x011	翅膀攻击
0x012	吹飞
0x013	飞翔
0x014	绑紧
0x015	摔打
0x016	藤鞭
0x017	踩踏
0x018	二连踢
0x019	百万吨重踢
0x01A	飞踢
0x01B	回旋踢
0x01C	泼沙
0x01D	头锤
0x01E	角撞
0x01F	乱击
0x020	角钻
0x021	撞击
0x022	泰山压顶
0x023	紧束
0x024	猛撞
0x025	大闹一番
0x026	舍身冲撞
0x027	摇尾巴
0x028	毒针
0x029	双针
0x02A	飞弹针
0x02B	瞪眼
0x02C	咬住
0x02D	叫声
0x02E	吼叫
0x02F	唱歌
0x030	超音波
0x031	音爆
0x032	定身法
0x033	溶解液
0x034	火花
0x035	喷射火焰
0x036	白雾
0x037	水枪
0x038	水炮
0x039	冲浪
0x03A	冰冻光束
0x03B	暴风雪
0x03C	幻象光线
0x03D	泡沫光线
0x03E	极光束
0x03F	破坏光线
0x040	啄
0x041	啄钻
0x042	地狱翻滚
0x043	踢倒
0x044	双倍奉还
0x045	地球上投
0x046	怪力
0x047	吸取
0x048	超级吸取
0x049	寄生种子
0x04A	生长
0x04B	飞叶快刀
0x04C	日光束
0x04D	毒粉
0x04E	麻痹粉
0x04F	催眠粉
0x050	花瓣舞
0x051	吐丝
0x052	龙之怒
0x053	火焰旋涡
0x054	电击
0x055	十万伏特
0x056	电磁波
0x057	打雷
0x058	落石
0x059	地震
0x05A	地裂
0x05B	挖洞
0x05C	剧毒
0x05D	念力
0x05E	精神强念
0x05F	催眠术
0x060	瑜伽姿势
0x061	高速移动
0x062	电光一闪
0x063	愤怒
0x064	瞬间移动
0x065	黑夜魔影
0x066	模仿
0x067	刺耳声
0x068	影子分身
0x069	自我再生
0x06A	变硬
0x06B	变小
0x06C	烟幕
0x06D	奇异之光
0x06E	缩入壳中
0x06F	变圆
0x070	屏障
0x071	光墙
0x072	黑雾
0x073	反射壁
0x074	聚气
0x075	忍耐
0x076	挥指
0x077	鹦鹉学舌
0x078	自爆
0x079	炸蛋
0x07A	舌舔
0x07B	浊雾
0x07C	污泥攻击
0x07D	骨棒
0x07E	大字爆炎
0x07F	攀瀑
0x080	贝壳夹击
0x081	高速星星
0x082	火箭头锤
0x083	尖刺加农炮
0x084	缠绕
0x085	瞬间失忆
0x086	折弯汤匙
0x087	生蛋
0x088	飞膝踢
0x089	大蛇瞪眼
0x08A	食梦
0x08B	毒瓦斯
0x08C	投球
0x08D	吸血
0x08E	恶魔之吻
0x08F	神鸟猛击
0x090	变身
0x091	泡沫
0x092	迷昏拳
0x093	蘑菇孢子
0x094	闪光
0x095	精神波
0x096	跃起
0x097	溶化
0x098	蟹钳锤
0x099	大爆炸
0x09A	乱抓
0x09B	骨头回力镖
0x09C	睡觉
0x09D	岩崩
0x09E	必杀门牙
0x09F	棱角化
0x0A0	纹理
0x0A1	三重攻击
0x0A2	愤怒门牙
0x0A3	劈开
0x0A4	替身
0x0A5	挣扎
0x0A6	写生
0x0A7	三连踢
0x0A8	小偷
0x0A9	蛛网
0x0AA	心之眼
0x0AB	恶梦
0x0AC	火焰轮
0x0AD	打鼾
0x0AE	诅咒
0x0AF	抓狂
0x0B0	纹理2
0x0B1	气旋攻击
0x0B2	棉孢子
0x0B3	起死回生
0x0B4	怨恨
0x0B5	细雪
0x0B6	守住
0x0B7	音速拳
0x0B8	鬼面
0x0B9	出奇一击
0x0BA	天使之吻
0x0BB	腹鼓
0x0BC	污泥炸弹
0x0BD	掷泥
0x0BE	章鱼桶炮
0x0BF	撒菱
0x0C0	电磁炮
0x0C1	识破
0x0C2	同命
0x0C3	灭亡之歌
0x0C4	冰冻之风
0x0C5	看穿
0x0C6	骨棒乱打
0x0C7	锁定
0x0C8	逆鳞
0x0C9	沙暴
0x0CA	终极吸取
0x0CB	挺住
0x0CC	撒娇
0x0CD	滚动
0x0CE	点到为止
0x0CF	虚张声势
0x0D0	喝牛奶
0x0D1	电光
0x0D2	连斩
0x0D3	钢翼
0x0D4	黑色目光
0x0D5	迷人
0x0D6	梦话
0x0D7	治愈铃声
0x0D8	报恩
0x0D9	礼物
0x0DA	迁怒
0x0DB	神秘守护
0x0DC	分担痛楚
0x0DD	神圣之火
0x0DE	震级
0x0DF	爆裂拳
0x0E0	超级角击
0x0E1	龙息
0x0E2	接棒
0x0E3	再来一次
0x0E4	追打
0x0E5	高速旋转
0x0E6	甜甜香气
0x0E7	铁尾
0x0E8	金属爪
0x0E9	借力摔
0x0EA	晨光
0x0EB	光合作用
0x0EC	月光
0x0ED	觉醒力量
0x0EE	十字劈
0x0EF	龙卷风
0x0F0	求雨
0x0F1	大晴天
0x0F2	咬碎
0x0F3	镜面反射
0x0F4	自我暗示
0x0F5	神速
0x0F6	原始之力
0x0F7	暗影球
0x0F8	预知未来
0x0F9	碎岩
0x0FA	潮旋
0x0FB	围攻
0x0FC	击掌奇袭
0x0FD	吵闹
0x0FE	蓄力
0x0FF	喷出
0x100	吞下
0x101	热风
0x102	冰雹
0x103	无理取闹
0x104	吹捧
0x105	鬼火
0x106	临别礼物
0x107	硬撑
0x108	真气拳
0x109	清醒
0x10A	看我嘛
0x10B	自然之力
0x10C	充电
0x10D	挑衅
0x10E	帮助
0x10F	戏法
0x110	扮演
0x111	祈愿
0x112	借助
0x113	扎根
0x114	蛮力
0x115	魔法反射
0x116	回收利用
0x117	报复
0x118	劈瓦
0x119	哈欠
0x11A	拍落
0x11B	蛮干
0x11C	喷火
0x11D	特性互换
0x11E	封印
0x11F	焕然一新
0x120	怨念
0x121	抢夺
0x122	秘密之力
0x123	潜水
0x124	猛推
0x125	保护色
0x126	萤火
0x127	洁净光芒
0x128	薄雾球
0x129	羽毛舞
0x12A	摇晃舞
0x12B	火焰踢
0x12C	玩泥巴
0x12D	冰球
0x12E	尖刺臂
0x12F	偷懒
0x130	巨声
0x131	剧毒牙
0x132	撕裂爪
0x133	爆炸烈焰
0x134	加农水炮
0x135	彗星拳
0x136	惊吓
0x137	气象球
0x138	芳香治疗
0x139	假哭
0x13A	空气利刃
0x13B	过热
0x13C	气味侦测
0x13D	岩石封锁
0x13E	银色旋风
0x13F	金属音
0x140	草笛
0x141	挠痒
0x142	宇宙力量
0x143	喷水
0x144	信号光束
0x145	暗影拳
0x146	神通力
0x147	冲天拳
0x148	流沙地狱
0x149	绝对零度
0x14A	浊流
0x14B	种子机关枪
0x14C	燕返
0x14D	冰锥
0x14E	铁壁
0x14F	挡路
0x150	长嚎
0x151	龙爪
0x152	疯狂植物
0x153	健美
0x154	弹跳
0x155	泥巴射击
0x156	毒尾
0x157	渴望
0x158	伏特攻击
0x159	魔法叶
